Line,Point,X,Y
1,1,111,311
1,2,112,311
1,3,113,311
1,4,114,311
1,5,115,311
1,6,116,311
1,7,117,311
1,8,118,311
1,9,119,311
1,10,120,311
1,11,121,311
1,12,122,311
1,13,122,311
1,14,123,311
1,15,124,311
1,16,125,311
1,17,126,311
1,18,127,311
1,19,128,311
1,20,129,311
1,21,130,311
1,22,131,311
1,23,132,311
1,24,132,311
1,25,133,311
1,26,134,311
1,27,135,311
1,28,136,311
1,29,137,311
1,30,138,311
1,31,139,311
1,32,140,311
1,33,141,311
1,34,142,311
1,35,142,311
1,36,143,311
1,37,144,311
1,38,145,311
1,39,146,311
1,40,147,311
1,41,148,311
1,42,149,311
1,43,150,311
1,44,151,311
1,45,152,311
1,46,152,311
1,47,153,311
1,48,154,311
1,49,155,311
1,50,156,311
1,51,157,311
1,52,158,311
1,53,159,311
1,54,160,311
1,55,161,311
1,56,162,311
1,57,163,311
1,58,163,311
1,59,164,311
1,60,165,311
1,61,166,311
1,62,167,311
1,63,168,311
1,64,169,311
1,65,170,311
1,66,171,311
1,67,172,311
1,68,173,311
1,69,173,311
1,70,174,311
1,71,171,311
1,72,171,310
1,73,171,309
1,74,171,309
1,75,171,308
1,76,171,308
1,77,171,307
1,78,171,306
1,79,171,306
1,80,171,305
1,81,171,305
1,82,171,304
1,83,171,303
1,84,171,303
1,85,171,302
1,86,171,302
1,87,171,301
1,88,171,300
1,89,171,300
1,90,171,299
1,91,171,299
1,92,171,298
1,93,171,297
1,94,171,297
1,95,171,296
1,96,171,296
1,97,171,295
1,98,171,294
1,99,171,294
1,100,171,293
1,101,171,293
1,102,171,292
1,103,171,291
1,104,171,291
1,105,171,290
1,106,171,290
1,107,171,289
1,108,171,288
1,109,171,288
1,110,171,287
1,111,171,287
1,112,171,286
1,113,171,285
1,114,171,285
1,115,171,284
1,116,171,284
1,117,171,283
1,118,171,282
1,119,171,282
1,120,171,281
1,121,171,281
1,122,171,280
1,123,171,279
1,124,171,279
1,125,171,278
1,126,171,277
1,127,171,277
1,128,171,276
1,129,171,276
1,130,171,275
1,131,171,277
1,132,172,277
1,133,173,277
1,134,173,277
1,135,174,277
1,136,175,277
1,137,176,277
1,138,177,277
1,139,178,277
1,140,179,277
1,141,180,277
1,142,181,277
1,143,182,277
1,144,183,277
1,145,184,277
1,146,184,277
1,147,185,277
1,148,186,277
1,149,187,277
1,150,188,277
1,151,189,277
1,152,190,277
1,153,191,277
1,154,192,277
1,155,193,277
1,156,194,277
1,157,194,277
1,158,195,277
1,159,196,277
1,160,197,277
1,161,198,277
1,162,199,277
1,163,200,277
1,164,201,277
1,165,202,277
1,166,203,277
1,167,204,277
1,168,204,277
1,169,205,277
1,170,206,277
1,171,207,277
1,172,208,277
1,173,209,277
1,174,210,277
1,175,211,277
1,176,212,277
1,177,213,277
1,178,214,277
1,179,214,277
1,180,215,277
1,181,216,277
1,182,217,277
1,183,218,277
1,184,219,277
1,185,220,277
1,186,221,277
1,187,222,277
1,188,223,277
1,189,224,277
1,190,225,277
1,191,225,277
1,192,226,277
1,193,227,277
1,194,228,277
1,195,229,277
1,196,230,277
1,197,231,277
1,198,232,277
1,199,233,277
1,200,234,277
1,201,235,277
1,202,235,277
1,203,236,277
1,204,237,277
1,205,238,277
1,206,239,277
1,207,240,277
1,208,241,277
1,209,242,277
1,210,243,277
1,211,244,277
1,212,245,277
1,213,246,277
1,214,246,277
1,215,247,277
1,216,244,277
1,217,244,277
1,218,244,276
1,219,244,276
1,220,244,275
1,221,244,274
1,222,244,274
1,223,244,273
1,224,244,273
1,225,244,272
1,226,244,271
1,227,244,271
1,228,244,270
1,229,244,270
1,230,244,269
1,231,244,268
1,232,244,268
1,233,244,267
1,234,244,267
1,235,244,266
1,236,244,265
1,237,244,265
1,238,244,264
1,239,244,264
1,240,244,263
1,241,244,262
1,242,244,262
1,243,244,261
1,244,244,261
1,245,244,260
1,246,244,259
1,247,244,259
1,248,244,258
1,249,244,258
1,250,244,257
1,251,244,256
1,252,244,256
1,253,244,255
1,254,244,255
1,255,244,254
1,256,244,253
1,257,244,253
1,258,244,252
1,259,244,252
1,260,244,251
1,261,244,253
1,262,245,253
1,263,246,253
1,264,246,253
1,265,247,253
1,266,248,253
1,267,249,253
1,268,250,253
1,269,251,253
1,270,252,253
1,271,253,253
1,272,254,253
1,273,255,253
1,274,256,253
1,275,256,253
1,276,257,253
1,277,258,253
1,278,259,253
1,279,260,253
1,280,261,253
1,281,262,253
1,282,263,253
1,283,264,253
1,284,265,253
1,285,266,253
1,286,262,253
1,287,262,253
1,288,262,252
1,289,262,252
1,290,262,251
1,291,262,250
1,292,262,250
1,293,262,249
1,294,262,249
1,295,262,248
1,296,262,247
1,297,262,247
1,298,262,246
1,299,262,245
1,300,262,245
1,301,262,244
1,302,262,244
1,303,262,243
1,304,262,242
1,305,262,242
1,306,262,241
1,307,262,241
1,308,262,240
1,309,262,239
1,310,262,239
1,311,262,238
1,312,262,238
1,313,262,237
1,314,262,236
1,315,262,236
1,316,262,235
1,317,262,235
1,318,262,234
1,319,262,233
1,320,262,233
1,321,262,232
1,322,262,232
1,323,262,231
1,324,262,230
1,325,262,230
1,326,262,229
1,327,262,229
1,328,262,228
1,329,262,227
1,330,262,227
1,331,262,226
1,332,262,226
1,333,262,225
1,334,262,224
1,335,262,224
1,336,262,223
