Line,Point,X,Y
1,1,125,317
1,2,126,317
1,3,127,317
1,4,128,317
1,5,129,317
1,6,130,317
1,7,131,317
1,8,132,317
1,9,132,317
1,10,133,317
1,11,134,317
1,12,135,317
1,13,136,317
1,14,137,317
1,15,138,317
1,16,139,317
1,17,140,317
1,18,141,317
1,19,142,317
1,20,142,317
1,21,143,317
1,22,144,317
1,23,145,317
1,24,146,317
1,25,147,317
1,26,148,317
1,27,149,317
1,28,150,317
1,29,151,317
1,30,152,317
1,31,152,317
1,32,153,317
1,33,154,317
1,34,155,317
1,35,156,317
1,36,157,317
1,37,158,317
1,38,159,317
1,39,160,317
1,40,161,317
1,41,162,317
1,42,163,317
1,43,163,317
1,44,164,317
1,45,165,317
1,46,166,317
1,47,167,317
1,48,168,317
1,49,169,317
1,50,170,317
1,51,171,317
1,52,172,317
1,53,173,317
1,54,173,317
1,55,174,317
1,56,175,317
1,57,176,317
1,58,177,317
1,59,178,317
1,60,179,317
1,61,180,317
1,62,181,317
1,63,182,317
1,64,183,317
1,65,184,317
1,66,184,317
1,67,185,317
1,68,186,317
1,69,187,317
1,70,188,317
1,71,189,317
1,72,190,317
1,73,191,317
1,74,192,317
1,75,193,317
1,76,194,317
1,77,194,317
1,78,195,317
1,79,196,317
1,80,197,317
1,81,194,317
1,82,194,316
1,83,194,316
1,84,194,315
1,85,194,314
1,86,194,314
1,87,194,313
1,88,194,313
1,89,194,312
1,90,194,311
1,91,194,311
1,92,194,310
1,93,194,309
1,94,194,309
1,95,194,308
1,96,194,308
1,97,194,307
1,98,194,306
1,99,194,306
1,100,194,305
1,101,194,305
1,102,194,304
1,103,194,303
1,104,194,303
1,105,194,302
1,106,194,302
1,107,194,301
1,108,194,300
1,109,194,300
1,110,194,299
1,111,194,299
1,112,194,298
1,113,194,297
1,114,194,297
1,115,194,296
1,116,194,296
1,117,194,295
1,118,194,294
1,119,194,294
1,120,194,293
1,121,194,293
1,122,194,292
1,123,194,291
1,124,194,291
1,125,194,290
1,126,194,293
1,127,194,293
1,128,195,293
1,129,196,293
1,130,197,293
1,131,198,293
1,132,199,293
1,133,200,293
1,134,201,293
1,135,202,293
1,136,203,293
1,137,204,293
1,138,204,293
1,139,205,293
1,140,206,293
1,141,207,293
1,142,208,293
1,143,209,293
1,144,210,293
1,145,211,293
1,146,212,293
1,147,213,293
1,148,214,293
1,149,214,293
1,150,215,293
1,151,216,293
1,152,217,293
1,153,218,293
1,154,219,293
1,155,220,293
1,156,216,293
1,157,216,292
1,158,216,291
1,159,216,291
1,160,216,290
1,161,216,290
1,162,216,289
1,163,216,288
1,164,216,288
1,165,216,287
1,166,216,287
1,167,216,286
1,168,216,285
1,169,216,285
1,170,216,284
1,171,216,284
1,172,216,283
1,173,216,282
1,174,216,282
1,175,216,281
1,176,216,281
1,177,216,280
1,178,216,279
1,179,216,279
1,180,216,278
1,181,216,277
1,182,216,277
1,183,216,276
1,184,216,276
1,185,216,275
1,186,216,274
1,187,216,274
1,188,216,273
1,189,216,273
1,190,216,272
1,191,216,271
1,192,216,271
1,193,216,270
1,194,216,270
1,195,216,269
1,196,216,268
1,197,216,268
1,198,216,267
1,199,216,267
1,200,216,266
1,201,216,265
1,202,216,265
1,203,216,264
1,204,216,264
1,205,216,263
1,206,216,262
1,207,216,262
1,208,216,261
1,209,216,261
1,210,216,260
1,211,216,259
1,212,216,259
1,213,216,258
1,214,216,258
1,215,216,257
1,216,216,256
1,217,216,256
1,218,216,255
1,219,216,255
1,220,216,254
1,221,216,256
1,222,217,256
1,223,218,256
1,224,219,256
1,225,220,256
1,226,221,256
1,227,222,256
1,228,223,256
1,229,224,256
1,230,225,256
1,231,225,256
1,232,226,256
1,233,227,256
1,234,228,256
1,235,229,256
1,236,225,256
1,237,225,256
1,238,225,255
1,239,225,255
1,240,225,254
1,241,225,253
1,242,225,253
1,243,225,252
1,244,225,252
1,245,225,251
1,246,225,250
1,247,225,250
1,248,225,249
1,249,225,249
1,250,225,248
1,251,225,247
1,252,225,247
1,253,225,246
1,254,225,245
1,255,225,245
1,256,225,244
1,257,225,244
1,258,225,243
1,259,225,242
1,260,225,242
1,261,225,241
1,262,225,241
1,263,225,240
1,264,225,239
1,265,225,239
1,266,225,238
1,267,225,238
1,268,225,237
1,269,225,236
1,270,225,236
1,271,225,235
1,272,225,235
1,273,225,234
1,274,225,233
1,275,225,233
1,276,225,232
1,277,225,232
1,278,225,231
1,279,225,230
1,280,225,230
1,281,225,229
1,282,225,229
1,283,225,228
1,284,225,227
1,285,225,227
1,286,225,226
1,287,225,226
1,288,225,225
1,289,225,224
1,290,225,224
1,291,225,223
1,292,225,223
1,293,225,222
1,294,225,221
1,295,225,221
1,296,225,220
1,297,225,220
1,298,225,219
1,299,225,218
1,300,225,218
1,301,225,220
1,302,226,220
1,303,227,220
1,304,228,220
1,305,229,220
1,306,230,220
1,307,231,220
1,308,232,220
1,309,233,220
1,310,234,220
1,311,235,220
1,312,235,220
1,313,236,220
1,314,237,220
1,315,238,220
1,316,239,220
1,317,240,220
1,318,241,220
1,319,242,220
1,320,243,220
1,321,244,220
1,322,245,220
1,323,246,220
1,324,246,220
1,325,247,220
1,326,248,220
1,327,249,220
1,328,250,220
1,329,251,220
1,330,252,220
1,331,253,220
1,332,254,220
1,333,255,220
1,334,256,220
1,335,256,220
1,336,257,220
1,337,258,220
1,338,259,220
