Line,Point,X,Y
1,1,125,317
1,2,126,317
1,3,127,317
1,4,128,317
1,5,129,317
1,6,130,317
1,7,131,317
1,8,132,317
1,9,132,317
1,10,133,317
1,11,134,317
1,12,135,317
1,13,136,317
1,14,137,317
1,15,138,317
1,16,139,317
1,17,140,317
1,18,141,317
1,19,142,317
1,20,142,317
1,21,143,317
1,22,144,317
1,23,145,317
1,24,146,317
1,25,147,317
1,26,148,317
1,27,149,317
1,28,150,317
1,29,151,317
1,30,152,317
1,31,152,317
1,32,153,317
1,33,154,317
1,34,155,317
1,35,156,317
1,36,157,317
1,37,158,317
1,38,159,317
1,39,160,317
1,40,161,317
1,41,162,317
1,42,163,317
1,43,163,317
1,44,164,317
1,45,165,317
1,46,166,317
1,47,167,317
1,48,168,317
1,49,169,317
1,50,170,317
1,51,166,317
1,52,166,316
1,53,166,316
1,54,166,315
1,55,166,314
1,56,166,314
1,57,166,313
1,58,166,313
1,59,166,312
1,60,166,311
1,61,166,311
1,62,166,310
1,63,166,309
1,64,166,309
1,65,166,308
1,66,166,308
1,67,166,307
1,68,166,306
1,69,166,306
1,70,166,305
1,71,166,305
1,72,166,304
1,73,166,303
1,74,166,303
1,75,166,302
1,76,166,302
1,77,166,301
1,78,166,300
1,79,166,300
1,80,166,299
1,81,166,299
1,82,166,298
1,83,166,297
1,84,166,297
1,85,166,296
1,86,166,296
1,87,166,295
1,88,166,294
1,89,166,294
1,90,166,293
1,91,166,293
1,92,166,292
1,93,166,291
1,94,166,291
1,95,166,290
1,96,166,290
1,97,166,289
1,98,166,288
1,99,166,288
1,100,166,287
1,101,166,287
1,102,166,286
1,103,166,285
1,104,166,285
1,105,166,284
1,106,166,284
1,107,166,283
1,108,166,282
1,109,166,282
1,110,166,281
1,111,166,281
1,112,166,280
1,113,166,279
1,114,166,279
1,115,166,278
1,116,166,281
1,117,167,281
1,118,168,281
1,119,169,281
1,120,170,281
1,121,171,281
1,122,172,281
1,123,173,281
1,124,173,281
1,125,174,281
1,126,175,281
1,127,176,281
1,128,177,281
1,129,178,281
1,130,179,281
1,131,180,281
1,132,181,281
1,133,182,281
1,134,183,281
1,135,184,281
1,136,184,281
1,137,185,281
1,138,186,281
1,139,187,281
1,140,188,281
1,141,189,281
1,142,190,281
1,143,191,281
1,144,192,281
1,145,193,281
1,146,194,281
1,147,194,281
1,148,195,281
1,149,196,281
1,150,197,281
1,151,198,281
1,152,199,281
1,153,200,281
1,154,201,281
1,155,202,281
1,156,198,281
1,157,198,280
1,158,198,279
1,159,198,279
1,160,198,278
1,161,198,277
1,162,198,277
1,163,198,276
1,164,198,276
1,165,198,275
1,166,198,274
1,167,198,274
1,168,198,273
1,169,198,273
1,170,198,272
1,171,198,271
1,172,198,271
1,173,198,270
1,174,198,270
1,175,198,269
1,176,198,268
1,177,198,268
1,178,198,267
1,179,198,267
1,180,198,266
1,181,198,265
1,182,198,265
1,183,198,264
1,184,198,264
1,185,198,263
1,186,198,262
1,187,198,262
1,188,198,261
1,189,198,261
1,190,198,260
1,191,198,259
1,192,198,259
1,193,198,258
1,194,198,258
1,195,198,257
1,196,198,256
1,197,198,256
1,198,198,255
1,199,198,255
1,200,198,254
1,201,198,253
1,202,198,253
1,203,198,252
1,204,198,252
1,205,198,251
1,206,198,253
1,207,199,253
1,208,200,253
1,209,201,253
1,210,202,253
1,211,203,253
1,212,204,253
1,213,204,253
1,214,205,253
1,215,206,253
1,216,207,253
1,217,208,253
1,218,209,253
1,219,210,253
1,220,211,253
1,221,212,253
1,222,213,253
1,223,214,253
1,224,214,253
1,225,215,253
1,226,216,253
1,227,217,253
1,228,218,253
1,229,219,253
1,230,220,253
1,231,221,253
1,232,222,253
1,233,223,253
1,234,224,253
1,235,225,253
1,236,225,253
1,237,226,253
1,238,227,253
1,239,228,253
1,240,229,253
1,241,230,253
1,242,231,253
1,243,232,253
1,244,233,253
1,245,234,253
1,246,235,253
1,247,235,253
1,248,236,253
1,249,237,253
1,250,238,253
1,251,239,253
1,252,240,253
1,253,241,253
1,254,242,253
1,255,243,253
1,256,239,253
1,257,239,253
1,258,239,252
1,259,239,252
1,260,239,251
1,261,239,250
1,262,239,250
1,263,239,249
1,264,239,249
1,265,239,248
1,266,239,247
1,267,239,247
1,268,239,246
1,269,239,245
1,270,239,245
1,271,239,244
1,272,239,244
1,273,239,243
1,274,239,242
1,275,239,242
1,276,239,241
1,277,239,241
1,278,239,240
1,279,239,239
1,280,239,239
1,281,239,238
1,282,239,238
1,283,239,237
1,284,239,236
1,285,239,236
1,286,239,235
1,287,239,235
1,288,239,234
1,289,239,233
1,290,239,233
1,291,239,232
1,292,239,232
1,293,239,231
1,294,239,230
1,295,239,230
1,296,239,229
1,297,239,229
1,298,239,228
1,299,239,227
1,300,239,227
1,301,239,226
1,302,239,226
1,303,239,225
1,304,239,224
1,305,239,224
1,306,239,223
1,307,239,223
1,308,239,222
1,309,239,221
1,310,239,221
1,311,239,220
1,312,239,220
1,313,239,219
1,314,239,218
1,315,239,218
1,316,239,217
1,317,239,216
1,318,239,216
1,319,239,215
1,320,239,215
1,321,239,217
1,322,240,217
1,323,241,217
1,324,242,217
1,325,243,217
1,326,244,217
1,327,245,217
1,328,246,217
1,329,246,217
1,330,247,217
1,331,248,217
1,332,249,217
1,333,250,217
1,334,251,217
1,335,252,217
1,336,253,217
1,337,254,217
1,338,255,217
