Line,Point,X,Y
1,1,130,335
1,2,131,335
1,3,132,335
1,4,132,335
1,5,133,335
1,6,134,335
1,7,135,335
1,8,136,335
1,9,137,335
1,10,138,335
1,11,139,335
1,12,140,335
1,13,141,335
1,14,142,335
1,15,142,335
1,16,143,335
1,17,144,335
1,18,145,335
1,19,146,335
1,20,147,335
1,21,148,335
1,22,149,335
1,23,150,335
1,24,151,335
1,25,152,335
1,26,152,335
1,27,153,335
1,28,154,335
1,29,155,335
1,30,156,335
1,31,152,335
1,32,152,334
1,33,152,334
1,34,152,333
1,35,152,332
1,36,152,332
1,37,152,331
1,38,152,331
1,39,152,330
1,40,152,329
1,41,152,329
1,42,152,328
1,43,152,328
1,44,152,327
1,45,152,326
1,46,152,326
1,47,152,325
1,48,152,325
1,49,152,324
1,50,152,323
1,51,152,323
1,52,152,322
1,53,152,322
1,54,152,321
1,55,152,320
1,56,152,320
1,57,152,319
1,58,152,319
1,59,152,318
1,60,152,317
1,61,152,317
1,62,152,316
1,63,152,316
1,64,152,315
1,65,152,314
1,66,152,314
1,67,152,313
1,68,152,313
1,69,152,312
1,70,152,311
1,71,152,311
1,72,152,310
1,73,152,309
1,74,152,309
1,75,152,308
1,76,152,308
1,77,152,307
1,78,152,306
1,79,152,306
1,80,152,305
1,81,152,305
1,82,152,304
1,83,152,303
1,84,152,303
1,85,152,302
1,86,152,305
1,87,153,305
1,88,154,305
1,89,155,305
1,90,156,305
1,91,157,305
1,92,158,305
1,93,159,305
1,94,160,305
1,95,161,305
1,96,157,305
1,97,157,304
1,98,157,303
1,99,157,303
1,100,157,302
1,101,157,302
1,102,157,301
1,103,157,300
1,104,157,300
1,105,157,299
1,106,157,299
1,107,157,298
1,108,157,297
1,109,157,297
1,110,157,296
1,111,157,296
1,112,157,295
1,113,157,294
1,114,157,294
1,115,157,293
1,116,157,293
1,117,157,292
1,118,157,291
1,119,157,291
1,120,157,290
1,121,157,290
1,122,157,289
1,123,157,288
1,124,157,288
1,125,157,287
1,126,157,287
1,127,157,286
1,128,157,285
1,129,157,285
1,130,157,284
1,131,157,284
1,132,157,283
1,133,157,282
1,134,157,282
1,135,157,281
1,136,157,281
1,137,157,280
1,138,157,279
1,139,157,279
1,140,157,278
1,141,157,277
1,142,157,277
1,143,157,276
1,144,157,276
1,145,157,275
1,146,157,274
1,147,157,274
1,148,157,273
1,149,157,273
1,150,157,272
1,151,157,271
1,152,157,271
1,153,157,270
1,154,157,270
1,155,157,269
1,156,157,268
1,157,157,268
1,158,157,267
1,159,157,267
1,160,157,266
1,161,157,268
1,162,158,268
1,163,159,268
1,164,160,268
1,165,161,268
1,166,162,268
1,167,163,268
1,168,163,268
1,169,164,268
1,170,165,268
