Line,Point,X,Y
1,1,121,317
1,2,122,317
1,3,122,317
1,4,123,317
1,5,124,317
1,6,125,317
1,7,126,317
1,8,127,317
1,9,128,317
1,10,129,317
1,11,130,317
1,12,131,317
1,13,132,317
1,14,132,317
1,15,133,317
1,16,134,317
1,17,135,317
1,18,136,317
1,19,137,317
1,20,138,317
1,21,134,317
1,22,134,316
1,23,134,316
1,24,134,315
1,25,134,314
1,26,134,314
1,27,134,313
1,28,134,313
1,29,134,312
1,30,134,311
1,31,134,311
1,32,134,310
1,33,134,309
1,34,134,309
1,35,134,308
1,36,134,308
1,37,134,307
1,38,134,306
1,39,134,306
1,40,134,305
1,41,134,305
1,42,134,304
1,43,134,303
1,44,134,303
1,45,134,302
1,46,134,302
1,47,134,301
1,48,134,300
1,49,134,300
1,50,134,299
1,51,134,299
1,52,134,298
1,53,134,297
1,54,134,297
1,55,134,296
1,56,134,296
1,57,134,295
1,58,134,294
1,59,134,294
1,60,134,293
1,61,134,293
1,62,134,292
1,63,134,291
1,64,134,291
1,65,134,290
1,66,134,290
1,67,134,289
1,68,134,288
1,69,134,288
1,70,134,287
1,71,134,290
1,72,135,290
1,73,136,290
1,74,137,290
1,75,138,290
1,76,139,290
1,77,140,290
1,78,141,290
1,79,142,290
1,80,142,290
1,81,143,290
1,82,144,290
1,83,145,290
1,84,146,290
1,85,147,290
1,86,148,290
1,87,149,290
1,88,150,290
1,89,151,290
1,90,152,290
1,91,152,290
1,92,153,290
1,93,154,290
1,94,155,290
1,95,156,290
1,96,157,290
1,97,158,290
1,98,159,290
1,99,160,290
1,100,161,290
1,101,162,290
1,102,163,290
1,103,163,290
1,104,164,290
1,105,165,290
1,106,162,290
1,107,162,289
1,108,162,288
1,109,162,288
1,110,162,287
1,111,162,287
1,112,162,286
1,113,162,285
1,114,162,285
1,115,162,284
1,116,162,287
1,117,163,287
1,118,163,287
1,119,164,287
1,120,165,287
1,121,166,287
1,122,167,287
1,123,168,287
1,124,169,287
1,125,170,287
1,126,171,287
1,127,172,287
1,128,173,287
1,129,173,287
1,130,174,287
1,131,175,287
1,132,176,287
1,133,177,287
1,134,178,287
1,135,179,287
1,136,180,287
1,137,181,287
1,138,182,287
1,139,183,287
1,140,184,287
1,141,184,287
1,142,185,287
1,143,186,287
1,144,187,287
1,145,188,287
1,146,189,287
1,147,190,287
1,148,191,287
1,149,192,287
1,150,193,287
1,151,194,287
1,152,194,287
1,153,195,287
1,154,196,287
1,155,197,287
1,156,198,287
1,157,199,287
1,158,200,287
1,159,201,287
1,160,202,287
1,161,203,287
1,162,204,287
1,163,204,287
1,164,205,287
1,165,206,287
1,166,207,287
1,167,208,287
1,168,209,287
1,169,210,287
1,170,211,287
1,171,212,287
1,172,213,287
1,173,214,287
1,174,214,287
1,175,215,287
1,176,216,287
1,177,217,287
1,178,218,287
1,179,219,287
1,180,220,287
1,181,221,287
1,182,222,287
1,183,223,287
1,184,224,287
1,185,225,287
1,186,225,287
1,187,226,287
1,188,227,287
1,189,228,287
1,190,229,287
1,191,230,287
1,192,231,287
1,193,232,287
1,194,233,287
1,195,234,287
1,196,235,287
1,197,235,287
1,198,236,287
1,199,237,287
1,200,238,287
1,201,239,287
1,202,240,287
1,203,241,287
1,204,242,287
1,205,243,287
1,206,239,287
1,207,239,286
1,208,239,285
1,209,239,285
1,210,239,284
1,211,239,284
1,212,239,283
1,213,239,282
1,214,239,282
1,215,239,281
1,216,239,281
1,217,239,280
1,218,239,279
1,219,239,279
1,220,239,278
1,221,239,277
1,222,239,277
1,223,239,276
1,224,239,276
1,225,239,275
1,226,239,274
1,227,239,274
1,228,239,273
1,229,239,273
1,230,239,272
1,231,239,271
1,232,239,271
1,233,239,270
1,234,239,270
1,235,239,269
1,236,239,268
1,237,239,268
1,238,239,267
1,239,239,267
1,240,239,266
1,241,239,265
1,242,239,265
1,243,239,264
1,244,239,264
1,245,239,263
1,246,239,262
1,247,239,262
1,248,239,261
1,249,239,261
1,250,239,260
1,251,239,259
1,252,239,259
1,253,239,258
1,254,239,258
1,255,239,257
1,256,239,259
1,257,240,259
1,258,241,259
1,259,242,259
1,260,243,259
1,261,244,259
1,262,245,259
1,263,246,259
1,264,246,259
1,265,247,259
1,266,248,259
1,267,249,259
1,268,250,259
1,269,251,259
1,270,252,259
1,271,253,259
1,272,254,259
1,273,255,259
1,274,256,259
1,275,256,259
1,276,253,259
1,277,253,259
1,278,253,258
1,279,253,258
1,280,253,257
1,281,253,256
1,282,253,256
1,283,253,255
1,284,253,255
1,285,253,254
1,286,253,253
1,287,253,253
1,288,253,252
1,289,253,252
1,290,253,251
1,291,253,250
1,292,253,250
1,293,253,249
1,294,253,249
1,295,253,248
1,296,253,247
1,297,253,247
1,298,253,246
1,299,253,245
1,300,253,245
1,301,253,244
1,302,253,244
1,303,253,243
1,304,253,242
1,305,253,242
1,306,253,241
1,307,253,241
1,308,253,240
1,309,253,239
1,310,253,239
1,311,253,238
1,312,253,238
1,313,253,237
1,314,253,236
1,315,253,236
1,316,253,235
1,317,253,235
1,318,253,234
1,319,253,233
1,320,253,233
1,321,253,232
1,322,253,232
1,323,253,231
1,324,253,230
1,325,253,230
1,326,253,232
1,327,254,232
1,328,255,232
1,329,256,232
1,330,256,232
1,331,257,232
1,332,258,232
1,333,259,232
1,334,260,232
1,335,261,232
1,336,262,232
1,337,263,232
1,338,264,232
1,339,265,232
1,340,266,232
1,341,266,232
1,342,267,232
1,343,268,232
1,344,269,232
1,345,270,232
1,346,271,232
1,347,272,232
1,348,273,232
1,349,274,232
1,350,275,232
1,351,276,232
1,352,276,232
1,353,277,232
1,354,278,232
1,355,279,232
1,356,280,232
1,357,281,232
1,358,282,232
1,359,283,232
1,360,284,232
1,361,285,232
1,362,286,232
1,363,287,232
1,364,287,232
1,365,288,232
1,366,289,232
1,367,290,232
1,368,291,232
1,369,292,232
1,370,293,232
1,371,294,232
1,372,295,232
1,373,296,232
1,374,297,232
1,375,297,232
1,376,298,232
1,377,299,232
1,378,300,232
1,379,301,232
1,380,302,232
1,381,298,232
1,382,298,232
1,383,298,231
1,384,298,230
1,385,298,230
1,386,298,229
1,387,298,229
1,388,298,228
1,389,298,227
1,390,298,227
1,391,298,226
1,392,298,226
1,393,298,225
1,394,298,224
1,395,298,224
1,396,298,223
1,397,298,223
1,398,298,222
1,399,298,221
1,400,298,221
1,401,298,220
1,402,298,220
1,403,298,219
1,404,298,218
1,405,298,218
1,406,298,217
1,407,298,216
1,408,298,216
1,409,298,215
1,410,298,215
1,411,298,214
1,412,298,213
1,413,298,213
1,414,298,212
1,415,298,212
1,416,298,211
1,417,298,210
1,418,298,210
1,419,298,209
1,420,298,209
1,421,298,208
1,422,298,207
1,423,298,207
1,424,298,206
1,425,298,206
1,426,298,205
1,427,298,204
1,428,298,204
1,429,298,203
1,430,298,203
1,431,298,202
1,432,298,201
1,433,298,201
1,434,298,200
1,435,298,200
1,436,298,199
1,437,298,198
1,438,298,198
1,439,298,197
1,440,298,197
1,441,298,196
1,442,298,195
1,443,298,195
1,444,298,194
1,445,298,194
1,446,298,193
1,447,298,192
1,448,298,192
1,449,298,191
1,450,298,191
1,451,298,193
1,452,299,193
1,453,300,193
1,454,301,193
1,455,302,193
1,456,303,193
1,457,304,193
1,458,305,193
1,459,306,193
1,460,307,193
1,461,308,193
1,462,308,193
1,463,309,193
1,464,310,193
1,465,311,193
1,466,312,193
1,467,313,193
1,468,314,193
1,469,315,193
1,470,316,193
1,471,317,193
1,472,318,193
1,473,318,193
1,474,319,193
1,475,320,193
1,476,321,193
1,477,322,193
1,478,323,193
1,479,324,193
1,480,325,193
1,481,326,193
1,482,327,193
1,483,328,193
1,484,328,193
1,485,329,193
1,486,330,193
1,487,331,193
1,488,332,193
1,489,333,193
1,490,334,193
1,491,335,193
1,492,336,193
1,493,337,193
1,494,338,193
1,495,338,193
1,496,339,193
1,497,340,193
1,498,341,193
1,499,342,193
1,500,343,193
1,501,344,193
1,502,345,193
1,503,346,193
1,504,347,193
1,505,348,193
1,506,349,193
1,507,349,193
1,508,350,193
1,509,351,193
1,510,352,193
1,511,349,193
1,512,349,192
1,513,349,192
1,514,349,191
1,515,349,191
1,516,349,190
1,517,349,189
1,518,349,189
1,519,349,188
1,520,349,188
1,521,349,187
1,522,349,186
1,523,349,186
1,524,349,185
1,525,349,184
1,526,349,184
1,527,349,183
1,528,349,183
1,529,349,182
1,530,349,181
1,531,349,181
1,532,349,180
1,533,349,180
1,534,349,179
1,535,349,178
1,536,349,178
1,537,349,177
1,538,349,177
1,539,349,176
1,540,349,175
1,541,349,175
1,542,349,174
1,543,349,174
1,544,349,173
1,545,349,172
1,546,349,172
1,547,349,171
1,548,349,171
1,549,349,170
