Line,Point,X,Y
1,1,139,335
1,2,140,335
1,3,141,335
1,4,142,335
1,5,142,335
1,6,143,335
1,7,144,335
1,8,145,335
1,9,146,335
1,10,147,335
1,11,148,335
1,12,149,335
1,13,150,335
1,14,151,335
1,15,152,335
1,16,152,335
1,17,153,335
1,18,154,335
1,19,155,335
1,20,156,335
1,21,157,335
1,22,158,335
1,23,159,335
1,24,160,335
1,25,161,335
1,26,162,335
1,27,163,335
1,28,163,335
1,29,164,335
1,30,165,335
1,31,166,335
1,32,167,335
1,33,168,335
1,34,169,335
1,35,170,335
1,36,171,335
1,37,172,335
1,38,173,335
1,39,173,335
1,40,174,335
1,41,175,335
1,42,176,335
1,43,177,335
1,44,178,335
1,45,179,335
1,46,180,335
1,47,181,335
1,48,182,335
1,49,183,335
1,50,184,335
1,51,184,335
1,52,185,335
1,53,186,335
1,54,187,335
1,55,188,335
1,56,189,335
1,57,190,335
1,58,191,335
1,59,192,335
1,60,193,335
1,61,194,335
1,62,194,335
1,63,195,335
1,64,196,335
1,65,197,335
1,66,198,335
1,67,199,335
1,68,200,335
1,69,201,335
1,70,202,335
1,71,203,335
1,72,204,335
1,73,204,335
1,74,205,335
1,75,206,335
1,76,207,335
1,77,208,335
1,78,209,335
1,79,210,335
1,80,211,335
1,81,207,335
1,82,207,334
1,83,207,334
1,84,207,333
1,85,207,332
1,86,207,332
1,87,207,331
1,88,207,331
1,89,207,330
1,90,207,329
1,91,207,329
1,92,207,328
1,93,207,328
1,94,207,327
1,95,207,326
1,96,207,326
1,97,207,325
1,98,207,325
1,99,207,324
1,100,207,323
1,101,207,323
1,102,207,322
1,103,207,322
1,104,207,321
1,105,207,320
1,106,207,320
1,107,207,319
1,108,207,319
1,109,207,318
1,110,207,317
1,111,207,317
1,112,207,316
1,113,207,316
1,114,207,315
1,115,207,314
1,116,207,314
1,117,207,313
1,118,207,313
1,119,207,312
1,120,207,311
1,121,207,314
1,122,208,314
1,123,209,314
1,124,210,314
1,125,211,314
1,126,212,314
1,127,213,314
1,128,214,314
1,129,214,314
1,130,215,314
1,131,216,314
1,132,217,314
1,133,218,314
1,134,219,314
1,135,220,314
1,136,221,314
1,137,222,314
1,138,223,314
1,139,224,314
1,140,225,314
1,141,225,314
1,142,226,314
1,143,227,314
1,144,228,314
1,145,229,314
1,146,230,314
1,147,231,314
1,148,232,314
1,149,233,314
1,150,234,314
1,151,235,314
1,152,235,314
1,153,236,314
1,154,237,314
1,155,238,314
1,156,239,314
1,157,240,314
1,158,241,314
1,159,242,314
1,160,243,314
1,161,239,314
1,162,239,313
