Line,Point,X,Y
1,1,121,326
1,2,122,326
1,3,122,326
1,4,123,326
1,5,124,326
1,6,125,326
1,7,126,326
1,8,127,326
1,9,128,326
1,10,129,326
1,11,130,326
1,12,131,326
1,13,132,326
1,14,132,326
1,15,133,326
1,16,134,326
1,17,135,326
1,18,136,326
1,19,137,326
1,20,138,326
1,21,139,326
1,22,140,326
1,23,141,326
1,24,142,326
1,25,142,326
1,26,143,326
1,27,144,326
1,28,145,326
1,29,146,326
1,30,147,326
1,31,148,326
1,32,149,326
1,33,150,326
1,34,151,326
1,35,152,326
1,36,152,326
1,37,153,326
1,38,154,326
1,39,155,326
1,40,156,326
1,41,157,326
1,42,158,326
1,43,159,326
1,44,160,326
1,45,161,326
1,46,162,326
1,47,163,326
1,48,163,326
1,49,164,326
1,50,165,326
1,51,166,326
1,52,167,326
1,53,168,326
1,54,169,326
1,55,170,326
1,56,171,326
1,57,172,326
1,58,173,326
1,59,173,326
1,60,174,326
1,61,171,326
1,62,171,325
1,63,171,325
1,64,171,324
1,65,171,323
1,66,171,323
1,67,171,322
1,68,171,322
1,69,171,321
1,70,171,320
1,71,171,320
1,72,171,319
1,73,171,319
1,74,171,318
1,75,171,317
1,76,171,317
1,77,171,316
1,78,171,316
1,79,171,315
1,80,171,314
1,81,171,314
1,82,171,313
1,83,171,313
1,84,171,312
1,85,171,311
1,86,171,311
1,87,171,310
1,88,171,309
1,89,171,309
1,90,171,308
1,91,171,308
1,92,171,307
1,93,171,306
1,94,171,306
1,95,171,305
1,96,171,305
1,97,171,304
1,98,171,303
1,99,171,303
1,100,171,302
1,101,171,305
1,102,172,305
1,103,173,305
1,104,173,305
1,105,174,305
1,106,175,305
1,107,176,305
1,108,177,305
1,109,178,305
1,110,179,305
1,111,180,305
1,112,181,305
1,113,182,305
1,114,183,305
1,115,184,305
1,116,184,305
1,117,185,305
1,118,186,305
1,119,187,305
1,120,188,305
1,121,189,305
1,122,190,305
1,123,191,305
1,124,192,305
1,125,193,305
1,126,194,305
1,127,194,305
1,128,195,305
1,129,196,305
1,130,197,305
1,131,198,305
1,132,199,305
1,133,200,305
1,134,201,305
1,135,202,305
1,136,203,305
1,137,204,305
1,138,204,305
1,139,205,305
1,140,206,305
1,141,207,305
1,142,208,305
1,143,209,305
1,144,210,305
1,145,211,305
1,146,212,305
1,147,213,305
1,148,214,305
1,149,214,305
1,150,215,305
1,151,212,305
1,152,212,304
1,153,212,303
1,154,212,303
1,155,212,302
1,156,212,302
1,157,212,301
1,158,212,300
1,159,212,300
1,160,212,299
1,161,212,299
1,162,212,298
1,163,212,297
1,164,212,297
1,165,212,296
1,166,212,296
1,167,212,295
1,168,212,294
1,169,212,294
1,170,212,293
1,171,212,293
1,172,212,292
1,173,212,291
1,174,212,291
1,175,212,290
1,176,212,290
1,177,212,289
1,178,212,288
1,179,212,288
1,180,212,287
1,181,212,290
1,182,213,290
1,183,214,290
1,184,214,290
1,185,215,290
1,186,216,290
1,187,217,290
1,188,218,290
1,189,219,290
1,190,220,290
1,191,221,290
1,192,222,290
1,193,223,290
1,194,224,290
1,195,225,290
1,196,225,290
1,197,226,290
1,198,227,290
1,199,228,290
1,200,229,290
1,201,230,290
1,202,231,290
1,203,232,290
1,204,233,290
1,205,234,290
1,206,235,290
1,207,235,290
1,208,236,290
1,209,237,290
1,210,238,290
1,211,239,290
1,212,240,290
1,213,241,290
1,214,242,290
1,215,243,290
1,216,239,290
1,217,239,289
1,218,239,288
1,219,239,288
1,220,239,287
1,221,239,287
1,222,239,286
1,223,239,285
1,224,239,285
1,225,239,284
1,226,239,284
1,227,239,283
1,228,239,282
1,229,239,282
1,230,239,281
1,231,239,281
1,232,239,280
1,233,239,279
1,234,239,279
1,235,239,278
1,236,239,277
1,237,239,277
1,238,239,276
1,239,239,276
1,240,239,275
1,241,239,274
1,242,239,274
1,243,239,273
1,244,239,273
1,245,239,272
1,246,239,271
1,247,239,271
1,248,239,270
1,249,239,270
1,250,239,269
1,251,239,268
1,252,239,268
1,253,239,267
1,254,239,267
1,255,239,266
1,256,239,265
1,257,239,265
1,258,239,264
1,259,239,264
1,260,239,263
1,261,239,262
1,262,239,262
1,263,239,261
1,264,239,261
1,265,239,260
1,266,239,262
1,267,240,262
1,268,241,262
1,269,242,262
1,270,243,262
1,271,244,262
1,272,245,262
1,273,246,262
1,274,246,262
1,275,247,262
1,276,248,262
1,277,249,262
1,278,250,262
1,279,251,262
1,280,252,262
1,281,253,262
1,282,254,262
1,283,255,262
1,284,256,262
1,285,256,262
1,286,257,262
1,287,258,262
1,288,259,262
1,289,260,262
1,290,261,262
1,291,262,262
1,292,263,262
1,293,264,262
1,294,265,262
1,295,266,262
1,296,266,262
1,297,267,262
1,298,268,262
1,299,269,262
1,300,270,262
1,301,271,262
1,302,272,262
1,303,273,262
1,304,274,262
1,305,275,262
1,306,276,262
1,307,276,262
1,308,277,262
1,309,278,262
1,310,279,262
1,311,276,262
1,312,276,262
1,313,276,261
1,314,276,261
1,315,276,260
1,316,276,259
1,317,276,259
1,318,276,258
1,319,276,258
1,320,276,257
1,321,276,256
1,322,276,256
1,323,276,255
1,324,276,255
1,325,276,254
1,326,276,253
1,327,276,253
1,328,276,252
1,329,276,252
1,330,276,251
1,331,276,250
1,332,276,250
1,333,276,249
1,334,276,249
1,335,276,248
1,336,276,247
1,337,276,247
1,338,276,246
1,339,276,245
1,340,276,245
1,341,276,244
1,342,276,244
1,343,276,243
1,344,276,242
1,345,276,242
1,346,276,244
1,347,276,244
1,348,277,244
1,349,278,244
1,350,279,244
1,351,280,244
1,352,281,244
1,353,282,244
1,354,283,244
1,355,284,244
1,356,285,244
1,357,286,244
1,358,287,244
1,359,287,244
1,360,288,244
1,361,289,244
1,362,290,244
1,363,291,244
1,364,292,244
1,365,293,244
1,366,294,244
1,367,295,244
1,368,296,244
1,369,297,244
1,370,297,244
1,371,298,244
1,372,299,244
1,373,300,244
1,374,301,244
1,375,302,244
1,376,303,244
1,377,304,244
1,378,305,244
1,379,306,244
1,380,307,244
1,381,308,244
1,382,308,244
1,383,309,244
1,384,310,244
1,385,311,244
1,386,312,244
1,387,313,244
1,388,314,244
1,389,315,244
1,390,316,244
1,391,312,244
1,392,312,244
1,393,312,243
1,394,312,242
1,395,312,242
1,396,312,241
1,397,312,241
1,398,312,240
1,399,312,239
1,400,312,239
1,401,312,238
1,402,312,238
1,403,312,237
1,404,312,236
1,405,312,236
1,406,312,235
1,407,312,235
1,408,312,234
1,409,312,233
1,410,312,233
1,411,312,232
1,412,312,232
1,413,312,231
1,414,312,230
1,415,312,230
1,416,312,229
1,417,312,229
1,418,312,228
1,419,312,227
1,420,312,227
1,421,312,226
1,422,312,226
1,423,312,225
1,424,312,224
1,425,312,224
1,426,312,223
1,427,312,223
1,428,312,222
1,429,312,221
1,430,312,221
1,431,312,220
1,432,312,220
1,433,312,219
1,434,312,218
1,435,312,218
1,436,312,217
1,437,312,216
1,438,312,216
1,439,312,215
1,440,312,215
1,441,312,217
1,442,313,217
1,443,314,217
1,444,315,217
1,445,316,217
1,446,317,217
1,447,318,217
1,448,318,217
1,449,319,217
1,450,320,217
1,451,321,217
1,452,322,217
1,453,323,217
1,454,324,217
1,455,325,217
1,456,321,217
