Line,Point,X,Y
1,1,139,326
1,2,140,326
1,3,141,326
1,4,142,326
1,5,142,326
1,6,143,326
1,7,144,326
1,8,145,326
1,9,146,326
1,10,147,326
1,11,148,326
1,12,149,326
1,13,150,326
1,14,151,326
1,15,152,326
1,16,152,326
1,17,153,326
1,18,154,326
1,19,155,326
1,20,156,326
1,21,157,326
1,22,158,326
1,23,159,326
1,24,160,326
1,25,161,326
1,26,162,326
1,27,163,326
1,28,163,326
1,29,164,326
1,30,165,326
1,31,166,326
1,32,167,326
1,33,168,326
1,34,169,326
1,35,170,326
1,36,171,326
1,37,172,326
1,38,173,326
1,39,173,326
1,40,174,326
1,41,175,326
1,42,176,326
1,43,177,326
1,44,178,326
1,45,179,326
1,46,180,326
1,47,181,326
1,48,182,326
1,49,183,326
1,50,184,326
1,51,180,326
1,52,180,325
1,53,180,325
1,54,180,324
1,55,180,323
1,56,180,323
1,57,180,322
1,58,180,322
1,59,180,321
1,60,180,320
1,61,180,320
1,62,180,319
1,63,180,319
1,64,180,318
1,65,180,317
1,66,180,317
1,67,180,316
1,68,180,316
1,69,180,315
1,70,180,314
1,71,180,314
1,72,180,313
1,73,180,313
1,74,180,312
1,75,180,311
1,76,180,311
1,77,180,310
1,78,180,309
1,79,180,309
1,80,180,308
1,81,180,308
1,82,180,307
1,83,180,306
1,84,180,306
1,85,180,305
1,86,180,305
1,87,180,304
1,88,180,303
1,89,180,303
1,90,180,302
1,91,180,302
1,92,180,301
1,93,180,300
1,94,180,300
1,95,180,299
1,96,180,299
1,97,180,298
1,98,180,297
1,99,180,297
1,100,180,296
1,101,180,299
1,102,181,299
1,103,182,299
1,104,183,299
1,105,184,299
1,106,184,299
1,107,185,299
1,108,186,299
1,109,187,299
1,110,188,299
1,111,189,299
1,112,190,299
1,113,191,299
1,114,192,299
1,115,193,299
1,116,194,299
1,117,194,299
1,118,195,299
1,119,196,299
1,120,197,299
1,121,198,299
1,122,199,299
1,123,200,299
1,124,201,299
1,125,202,299
1,126,203,299
1,127,204,299
1,128,204,299
1,129,205,299
1,130,206,299
1,131,207,299
1,132,208,299
1,133,209,299
1,134,210,299
1,135,211,299
1,136,212,299
1,137,213,299
1,138,214,299
1,139,214,299
1,140,215,299
1,141,212,299
1,142,212,298
1,143,212,297
1,144,212,297
1,145,212,296
1,146,212,296
1,147,212,295
1,148,212,294
1,149,212,294
1,150,212,293
1,151,212,293
1,152,212,292
1,153,212,291
1,154,212,291
1,155,212,290
1,156,212,290
1,157,212,289
1,158,212,288
1,159,212,288
1,160,212,287
1,161,212,287
1,162,212,286
1,163,212,285
1,164,212,285
1,165,212,284
1,166,212,284
1,167,212,283
1,168,212,282
1,169,212,282
1,170,212,281
1,171,212,281
1,172,212,280
1,173,212,279
1,174,212,279
1,175,212,278
1,176,212,277
1,177,212,277
1,178,212,276
1,179,212,276
1,180,212,275
1,181,212,274
1,182,212,274
1,183,212,273
1,184,212,273
1,185,212,272
1,186,212,271
1,187,212,271
1,188,212,270
1,189,212,270
1,190,212,269
1,191,212,268
1,192,212,268
1,193,212,267
1,194,212,267
1,195,212,266
1,196,212,265
1,197,212,265
1,198,212,264
1,199,212,264
1,200,212,263
1,201,212,262
1,202,212,262
1,203,212,261
1,204,212,261
1,205,212,260
1,206,212,259
1,207,212,259
1,208,212,258
1,209,212,258
1,210,212,257
1,211,212,259
1,212,213,259
1,213,214,259
1,214,214,259
1,215,215,259
1,216,216,259
1,217,217,259
1,218,218,259
1,219,219,259
1,220,220,259
1,221,221,259
1,222,222,259
1,223,223,259
1,224,224,259
1,225,225,259
1,226,225,259
1,227,226,259
1,228,227,259
1,229,228,259
1,230,229,259
1,231,230,259
1,232,231,259
1,233,232,259
1,234,233,259
1,235,234,259
1,236,235,259
1,237,235,259
1,238,236,259
1,239,237,259
1,240,238,259
1,241,239,259
1,242,240,259
1,243,241,259
1,244,242,259
1,245,243,259
1,246,239,259
1,247,239,259
1,248,239,258
1,249,239,258
1,250,239,257
1,251,239,256
1,252,239,256
1,253,239,255
1,254,239,255
1,255,239,254
1,256,239,253
1,257,239,253
1,258,239,252
1,259,239,252
1,260,239,251
