Line,Point,X,Y
1,1,134,326
1,2,135,326
1,3,136,326
1,4,137,326
1,5,138,326
1,6,139,326
1,7,140,326
1,8,141,326
1,9,142,326
1,10,142,326
1,11,143,326
1,12,144,326
1,13,145,326
1,14,146,326
1,15,147,326
1,16,148,326
1,17,149,326
1,18,150,326
1,19,151,326
1,20,152,326
1,21,152,326
1,22,153,326
1,23,154,326
1,24,155,326
1,25,156,326
1,26,157,326
1,27,158,326
1,28,159,326
1,29,160,326
1,30,161,326
1,31,162,326
1,32,163,326
1,33,163,326
1,34,164,326
1,35,165,326
1,36,162,326
1,37,162,325
1,38,162,325
1,39,162,324
1,40,162,323
1,41,162,323
1,42,162,322
1,43,162,322
1,44,162,321
1,45,162,320
1,46,162,320
1,47,162,319
1,48,162,319
1,49,162,318
1,50,162,317
1,51,162,317
1,52,162,316
1,53,162,316
1,54,162,315
1,55,162,314
1,56,162,314
1,57,162,313
1,58,162,313
1,59,162,312
1,60,162,311
1,61,162,311
1,62,162,310
1,63,162,309
1,64,162,309
1,65,162,308
1,66,162,308
1,67,162,307
1,68,162,306
1,69,162,306
1,70,162,305
1,71,162,305
1,72,162,304
1,73,162,303
1,74,162,303
1,75,162,302
1,76,162,302
1,77,162,301
1,78,162,300
1,79,162,300
1,80,162,299
1,81,162,299
1,82,162,298
1,83,162,297
1,84,162,297
1,85,162,296
1,86,162,296
1,87,162,295
1,88,162,294
1,89,162,294
1,90,162,293
1,91,162,293
1,92,162,292
1,93,162,291
1,94,162,291
1,95,162,290
1,96,162,290
1,97,162,289
1,98,162,288
1,99,162,288
1,100,162,287
1,101,162,287
1,102,162,286
1,103,162,285
1,104,162,285
1,105,162,284
1,106,162,284
1,107,162,283
1,108,162,282
1,109,162,282
1,110,162,281
1,111,162,284
1,112,163,284
1,113,163,284
1,114,164,284
1,115,165,284
1,116,166,284
1,117,167,284
1,118,168,284
1,119,169,284
1,120,170,284
1,121,171,284
1,122,172,284
1,123,173,284
1,124,173,284
1,125,174,284
1,126,175,284
1,127,176,284
1,128,177,284
1,129,178,284
1,130,179,284
1,131,180,284
1,132,181,284
1,133,182,284
1,134,183,284
1,135,184,284
1,136,184,284
1,137,185,284
1,138,186,284
1,139,187,284
1,140,188,284
1,141,189,284
1,142,190,284
1,143,191,284
1,144,192,284
1,145,193,284
1,146,194,284
1,147,194,284
1,148,195,284
1,149,196,284
1,150,197,284
1,151,198,284
1,152,199,284
1,153,200,284
1,154,201,284
1,155,202,284
1,156,203,284
1,157,204,284
1,158,204,284
1,159,205,284
1,160,206,284
1,161,207,284
1,162,208,284
1,163,209,284
1,164,210,284
1,165,211,284
1,166,212,284
1,167,213,284
1,168,214,284
1,169,214,284
1,170,215,284
1,171,216,284
1,172,217,284
1,173,218,284
1,174,219,284
1,175,220,284
1,176,221,284
1,177,222,284
1,178,223,284
1,179,224,284
1,180,225,284
1,181,225,284
1,182,226,284
1,183,227,284
1,184,228,284
1,185,229,284
1,186,230,284
1,187,231,284
1,188,232,284
1,189,233,284
1,190,234,284
1,191,235,284
1,192,235,284
1,193,236,284
1,194,237,284
1,195,238,284
1,196,239,284
1,197,240,284
1,198,241,284
1,199,242,284
1,200,243,284
1,201,239,284
1,202,239,283
1,203,239,282
1,204,239,282
1,205,239,281
1,206,239,281
1,207,239,280
1,208,239,279
1,209,239,279
1,210,239,278
1,211,239,277
1,212,239,277
1,213,239,276
1,214,239,276
1,215,239,275
1,216,239,274
1,217,239,274
1,218,239,273
1,219,239,273
1,220,239,272
1,221,239,271
1,222,239,271
1,223,239,270
1,224,239,270
1,225,239,269
1,226,239,268
1,227,239,268
1,228,239,267
1,229,239,267
1,230,239,266
1,231,239,265
1,232,239,265
1,233,239,264
1,234,239,264
1,235,239,263
1,236,239,265
1,237,240,265
1,238,241,265
1,239,242,265
1,240,243,265
1,241,244,265
1,242,245,265
1,243,246,265
1,244,246,265
1,245,247,265
1,246,248,265
1,247,249,265
1,248,250,265
1,249,251,265
1,250,252,265
1,251,253,265
1,252,254,265
1,253,255,265
1,254,256,265
1,255,256,265
1,256,257,265
1,257,258,265
1,258,259,265
1,259,260,265
1,260,261,265
1,261,262,265
1,262,263,265
1,263,264,265
1,264,265,265
1,265,266,265
1,266,266,265
1,267,267,265
1,268,268,265
1,269,269,265
1,270,270,265
1,271,271,265
1,272,272,265
1,273,273,265
1,274,274,265
1,275,275,265
1,276,271,265
1,277,271,265
1,278,271,264
1,279,271,264
1,280,271,263
1,281,271,262
1,282,271,262
1,283,271,261
1,284,271,261
1,285,271,260
1,286,271,259
1,287,271,259
1,288,271,258
1,289,271,258
1,290,271,257
1,291,271,256
1,292,271,256
1,293,271,255
1,294,271,255
1,295,271,254
1,296,271,253
1,297,271,253
1,298,271,252
1,299,271,252
1,300,271,251
1,301,271,250
1,302,271,250
1,303,271,249
1,304,271,249
1,305,271,248
1,306,271,247
1,307,271,247
1,308,271,246
1,309,271,245
1,310,271,245
1,311,271,244
1,312,271,244
1,313,271,243
1,314,271,242
1,315,271,242
1,316,271,241
1,317,271,241
1,318,271,240
1,319,271,239
1,320,271,239
1,321,271,238
1,322,271,238
1,323,271,237
1,324,271,236
1,325,271,236
1,326,271,235
1,327,271,235
1,328,271,234
1,329,271,233
1,330,271,233
1,331,271,232
1,332,271,232
1,333,271,231
1,334,271,230
1,335,271,230
1,336,271,229
1,337,271,229
1,338,271,228
1,339,271,227
1,340,271,227
1,341,271,226
1,342,271,226
1,343,271,225
1,344,271,224
1,345,271,224
1,346,271,223
1,347,271,223
1,348,271,222
1,349,271,221
1,350,271,221
1,351,271,223
1,352,272,223
1,353,273,223
1,354,274,223
1,355,275,223
1,356,276,223
1,357,276,223
1,358,277,223
1,359,278,223
1,360,279,223
1,361,280,223
1,362,281,223
1,363,282,223
1,364,283,223
1,365,284,223
1,366,285,223
1,367,286,223
1,368,287,223
1,369,287,223
1,370,288,223
1,371,289,223
1,372,290,223
1,373,291,223
1,374,292,223
1,375,293,223
1,376,294,223
1,377,295,223
1,378,296,223
1,379,297,223
1,380,297,223
1,381,298,223
1,382,299,223
1,383,300,223
1,384,301,223
1,385,302,223
1,386,303,223
1,387,304,223
1,388,305,223
1,389,306,223
1,390,307,223
1,391,308,223
1,392,308,223
1,393,309,223
1,394,310,223
1,395,311,223
1,396,312,223
1,397,313,223
1,398,314,223
1,399,315,223
1,400,316,223
1,401,317,223
1,402,318,223
1,403,318,223
1,404,319,223
1,405,320,223
1,406,321,223
1,407,322,223
1,408,323,223
1,409,324,223
1,410,325,223
1,411,326,223
1,412,327,223
1,413,328,223
1,414,328,223
1,415,329,223
1,416,326,223
1,417,326,223
1,418,326,222
1,419,326,221
1,420,326,221
1,421,326,220
1,422,326,220
1,423,326,219
1,424,326,218
1,425,326,218
1,426,326,217
1,427,326,216
1,428,326,216
1,429,326,215
1,430,326,215
1,431,326,214
1,432,326,213
1,433,326,213
1,434,326,212
1,435,326,212
1,436,326,211
1,437,326,210
1,438,326,210
1,439,326,209
1,440,326,209
1,441,326,208
1,442,326,207
1,443,326,207
1,444,326,206
1,445,326,206
1,446,326,205
1,447,326,204
1,448,326,204
1,449,326,203
1,450,326,203
1,451,326,202
1,452,326,201
1,453,326,201
1,454,326,200
1,455,326,200
1,456,326,199
1,457,326,198
1,458,326,198
1,459,326,197
1,460,326,197
1,461,326,196
1,462,326,195
1,463,326,195
1,464,326,194
1,465,326,194
1,466,326,193
1,467,326,192
1,468,326,192
1,469,326,191
1,470,326,191
1,471,326,190
1,472,326,189
1,473,326,189
1,474,326,188
1,475,326,188
1,476,326,190
1,477,327,190
1,478,328,190
1,479,328,190
1,480,329,190
1,481,330,190
1,482,331,190
1,483,332,190
1,484,333,190
1,485,334,190
1,486,335,190
1,487,336,190
1,488,337,190
1,489,338,190
1,490,338,190
1,491,339,190
1,492,340,190
1,493,341,190
1,494,342,190
1,495,343,190
1,496,344,190
1,497,345,190
1,498,346,190
1,499,347,190
1,500,348,190
1,501,349,190
1,502,349,190
1,503,350,190
1,504,351,190
1,505,352,190
1,506,353,190
1,507,354,190
1,508,355,190
1,509,356,190
1,510,357,190
1,511,358,190
1,512,359,190
1,513,359,190
1,514,360,190
1,515,361,190
1,516,362,190
1,517,363,190
1,518,364,190
1,519,365,190
1,520,366,190
1,521,367,190
1,522,368,190
1,523,369,190
1,524,370,190
1,525,370,190
1,526,371,190
1,527,372,190
1,528,373,190
1,529,374,190
1,530,375,190
1,531,376,190
1,532,377,190
1,533,378,190
1,534,379,190
1,535,380,190
1,536,380,190
1,537,381,190
1,538,382,190
1,539,383,190
1,540,384,190
1,541,380,190
1,542,380,189
1,543,380,189
1,544,380,188
1,545,380,188
1,546,380,187
1,547,380,186
1,548,380,186
1,549,380,185
1,550,380,184
1,551,380,187
1,552,381,187
1,553,382,187
1,554,383,187
1,555,384,187
1,556,385,187
1,557,386,187
1,558,387,187
1,559,388,187
1,560,389,187
1,561,390,187
1,562,390,187
1,563,391,187
1,564,392,187
1,565,393,187
1,566,394,187
1,567,395,187
1,568,396,187
1,569,397,187
1,570,398,187
1,571,399,187
